Owner,Year,Round,Original Owner
Raphael,2026,1st,Raphael
Raphael,2026,2nd,Raphael
Raphael,2026,3rd,Raphael
Raphael,2026,3rd,Doc
Raphael,2026,4th,Raphael
Raphael,2026,5th,Raphael
Raphael,2026,7th,Raphael
Raphael,2026,8th,Raphael
Raphael,2027,1st,Raphael
Raphael,2027,1st,Tomy
Raphael,2027,2nd,Raphael
Raphael,2027,2nd,Tomy
Raphael,2027,3rd,Raphael
Raphael,2027,4th,Raphael
Raphael,2027,7th,Raphael
Raphael,2027,8th,Raphael
Raphael,2028,1st,Raphael
Raphael,2028,2nd,Raphael
Raphael,2028,3rd,Raphael
Raphael,2028,4th,Raphael
Raphael,2028,5th,Raphael
Raphael,2028,6th,Raphael
Raphael,2028,7th,Raphael
Raphael,2028,8th,Raphael
Rudy,2026,1st,Rudy
Rudy,2026,1st,Jeff
Rudy,2026,1st,Tomy
Rudy,2026,1st,JS
Rudy,2026,2nd,Rudy
Rudy,2026,2nd,P-O
Rudy,2026,2nd,Tomy
Rudy,2026,3rd,Rudy
Rudy,2027,1st,Rudy
Rudy,2027,2nd,Rudy
Rudy,2027,3rd,Rudy
Rudy,2027,4th,Rudy
Rudy,2027,5th,Rudy
Rudy,2027,6th,Rudy
Rudy,2027,7th,Rudy
Rudy,2027,8th,Rudy
Rudy,2028,1st,Rudy
Rudy,2028,2nd,Rudy
Rudy,2028,3rd,Rudy
Rudy,2028,4th,Rudy
Rudy,2028,5th,Rudy
Rudy,2028,6th,Rudy
Rudy,2028,7th,Rudy
Rudy,2028,8th,Rudy
Allaire,2026,2nd,Jeff
Allaire,2026,4th,Frank T
Allaire,2026,4th,Allaire
Allaire,2026,4th,P-O
Allaire,2026,5th,Desbiens
Allaire,2026,5th,Allaire
Allaire,2026,7th,Allaire
Allaire,2026,8th,JS
Allaire,2027,1st,Allaire
Allaire,2027,2nd,Allaire
Allaire,2027,2nd,P-O
Allaire,2027,3rd,Allaire
Allaire,2027,4th,Allaire
Allaire,2027,5th,Allaire
Allaire,2027,6th,Allaire
Allaire,2027,7th,Allaire
Allaire,2028,1st,Allaire
Allaire,2028,2nd,Allaire
Allaire,2028,3rd,Allaire
Allaire,2028,4th,Allaire
Allaire,2028,5th,Allaire
Allaire,2028,6th,Allaire
Allaire,2028,7th,Allaire
Allaire,2028,8th,Allaire
JS,2026,1st,Bureau
JS,2026,2nd,JS
JS,2026,3rd,Allaire
JS,2026,3rd,JS
JS,2026,5th,JS
JS,2026,6th,JS
JS,2026,7th,JS
JS,2026,7th,Rudy
JS,2027,1st,JS
JS,2027,2nd,JS
JS,2027,3rd,JS
JS,2027,4th,JS
JS,2027,5th,JS
JS,2027,6th,JS
JS,2027,7th,JS
JS,2027,8th,JS
JS,2028,1st,JS
JS,2028,2nd,JS
JS,2028,3rd,JS
JS,2028,4th,JS
JS,2028,5th,JS
JS,2028,6th,JS
JS,2028,7th,JS
JS,2028,8th,JS
Doc,2026,1st,Doc
Doc,2026,1st,Dufour
Doc,2026,2nd,Doc
Doc,2026,3rd,Dufour
Doc,2026,3rd,Tomy
Doc,2026,3rd,P-O
Doc,2026,5th,Doc
Doc,2026,8th,Dufour
Doc,2027,1st,Doc
Doc,2027,2nd,Doc
Doc,2027,3rd,Doc
Doc,2027,4th,Doc
Doc,2027,4th,Dufour
Doc,2027,5th,Doc
Doc,2027,6th,Doc
Doc,2027,7th,Doc
Doc,2028,1st,Doc
Doc,2028,2nd,Doc
Doc,2028,3rd,Doc
Doc,2028,4th,Doc
Doc,2028,5th,Doc
Doc,2028,6th,Doc
Doc,2028,7th,Doc
Doc,2028,8th,Doc
Dufour,2026,4th,Desbiens
Dufour,2026,4th,JS
Dufour,2026,6th,Doc
Dufour,2026,6th,Raphael
Dufour,2026,6th,Dufour
Dufour,2026,8th,Doc
Dufour,2026,8th,Bernard
Dufour,2026,8th,Tomy
Dufour,2027,3rd,Dufour
Dufour,2027,4th,Bureau
Dufour,2027,5th,Bureau
Dufour,2027,5th,Dufour
Dufour,2027,6th,Dufour
Dufour,2027,7th,Ludo
Dufour,2027,7th,Dufour
Dufour,2027,8th,Doc
Dufour,2028,1st,Dufour
Dufour,2028,2nd,Dufour
Dufour,2028,3rd,Dufour
Dufour,2028,4th,Dufour
Dufour,2028,5th,Dufour
Dufour,2028,6th,Dufour
Dufour,2028,7th,Dufour
Dufour,2028,8th,Dufour
Thomas,2026,1st,Thomas
Thomas,2026,2nd,Dufour
Thomas,2026,2nd,Thomas
Thomas,2026,3rd,Thomas
Thomas,2026,4th,Thomas
Thomas,2026,6th,Thomas
Thomas,2026,7th,Thomas
Thomas,2026,8th,Thomas
Thomas,2027,1st,Thomas
Thomas,2027,2nd,Thomas
Thomas,2027,3rd,Thomas
Thomas,2027,4th,Thomas
Thomas,2027,5th,Thomas
Thomas,2027,6th,Thomas
Thomas,2027,7th,Thomas
Thomas,2027,8th,Thomas
Thomas,2028,1st,Thomas
Thomas,2028,2nd,Thomas
Thomas,2028,3rd,Thomas
Thomas,2028,4th,Thomas
Thomas,2028,5th,Thomas
Thomas,2028,6th,Thomas
Thomas,2028,7th,Thomas
Thomas,2028,8th,Thomas
Ludo,2026,1st,Ludo
Ludo,2026,2nd,Ludo
Ludo,2026,3rd,Ludo
Ludo,2026,3rd,Bureau
Ludo,2026,4th,Ludo
Ludo,2026,5th,Ludo
Ludo,2026,6th,Ludo
Ludo,2026,8th,Ludo
Ludo,2027,1st,Ludo
Ludo,2027,2nd,Dufour
Ludo,2027,2nd,Ludo
Ludo,2027,3rd,Ludo
Ludo,2027,4th,Ludo
Ludo,2027,5th,Ludo
Ludo,2027,6th,Ludo
Ludo,2027,8th,Ludo
Ludo,2028,1st,Ludo
Ludo,2028,2nd,Ludo
Ludo,2028,3rd,Ludo
Ludo,2028,4th,Ludo
Ludo,2028,5th,Ludo
Ludo,2028,6th,Ludo
Ludo,2028,7th,Ludo
Ludo,2028,8th,Ludo
P-O,2026,5th,P-O
P-O,2026,6th,Rudy
P-O,2026,6th,Bernard
P-O,2026,7th,Tomy
P-O,2026,7th,P-O
P-O,2026,8th,Bureau
P-O,2026,8th,Allaire
P-O,2026,8th,P-O
P-O,2027,1st,P-O
P-O,2027,3rd,P-O
P-O,2027,4th,P-O
P-O,2027,5th,P-O
P-O,2027,6th,P-O
P-O,2027,7th,P-O
P-O,2027,8th,P-O
P-O,2027,8th,Allaire
P-O,2028,1st,P-O
