Owner,Year,Round,Original Owner
Raphael,2026,1st,Raphael
Raphael,2026,2nd,Raphael
Raphael,2026,3rd,Raphael
Raphael,2027,1st,Raphael
Raphael,2027,2nd,Raphael
Raphael,2027,2nd,Tomy
Raphael,2027,3rd,Raphael
Raphael,2028,1st,Raphael
Raphael,2028,2nd,Raphael
Raphael,2028,3rd,Raphael
Raphael,2029,1st,Raphael
Raphael,2029,2nd,Raphael
Raphael,2029,3rd,Raphael
Raphael,2030,1st,Raphael
Raphael,2030,2nd,Raphael
Raphael,2030,3rd,Raphael
Rudy,2026,1st,Rudy
Rudy,2026,2nd,Rudy
Rudy,2026,2nd,Tomy
Rudy,2026,3rd,Tomy
Rudy,2026,3rd,Rudy
Rudy,2027,1st,Rudy
Rudy,2027,2nd,Rudy
Rudy,2027,3rd,Rudy
Rudy,2028,1st,Rudy
Rudy,2028,2nd,Rudy
Rudy,2028,3rd,Rudy
Rudy,2029,1st,Rudy
Rudy,2029,2nd,Rudy
Rudy,2029,3rd,Rudy
Rudy,2030,1st,Rudy
Rudy,2030,2nd,Rudy
Rudy,2030,3rd,Rudy
Allaire,2026,1st,Traded
Allaire,2026,2nd,Doc
Allaire,2026,3rd,Allaire
Allaire,2027,1st,Allaire
Allaire,2027,2nd,Traded
Allaire,2027,3rd,Allaire
Allaire,2027,3rd,Bureau
Allaire,2028,1st,Allaire
Allaire,2028,2nd,Allaire
Allaire,2028,3rd,Allaire
Allaire,2029,1st,Allaire
Allaire,2029,2nd,Allaire
Allaire,2029,3rd,Allaire
Allaire,2030,1st,Allaire
Allaire,2030,2nd,Allaire
Allaire,2030,3rd,Allaire
JS,2026,1st,JS
JS,2026,1st,Bureau
JS,2026,2nd,JS
JS,2027,1st,JS
JS,2027,2nd,JS
JS,2027,3rd,JS
JS,2028,1st,JS
JS,2028,2nd,JS
JS,2028,3rd,JS
JS,2029,1st,JS
JS,2029,2nd,JS
JS,2029,3rd,JS
JS,2030,1st,JS
JS,2030,2nd,JS
JS,2030,3rd,JS
Doc,2026,1st,P-O
Doc,2026,1st,Desbiens
Doc,2026,1st,Dufour
Doc,2026,1st,Tomy
Doc,2027,1st,Doc
Doc,2027,1st,Jeff
Doc,2027,1st,Tomy
Doc,2027,2nd,Traded
Doc,2027,3rd,Traded
Doc,2028,1st,Doc
Doc,2028,2nd,Doc
Doc,2028,3rd,Doc
Doc,2029,1st,Doc
Doc,2029,2nd,Doc
Doc,2029,3rd,Doc
Doc,2030,1st,Doc
Doc,2030,2nd,Doc
Doc,2030,3rd,Doc
Dufour,2026,3rd,Frank T
Dufour,2026,3rd,Doc
Dufour,2027,1st,Dufour
Dufour,2027,2nd,Traded
Dufour,2027,3rd,Dufour
Dufour,2027,3rd,Doc
Dufour,2028,1st,Dufour
Dufour,2028,2nd,Dufour
Dufour,2028,3rd,Dufour
Dufour,2029,1st,Dufour
Dufour,2029,2nd,Dufour
Dufour,2029,3rd,Dufour
Dufour,2030,1st,Dufour
Dufour,2030,2nd,Dufour
Dufour,2030,3rd,Dufour
Thomas,2026,1st,Thomas
Thomas,2026,1st,Jeff
Thomas,2026,2nd,Thomas
Thomas,2026,2nd,Dufour
Thomas,2026,3rd,Dufour
Thomas,2026,3rd,Desbiens
Thomas,2026,3rd,Thomas
Thomas,2027,1st,Thomas
Thomas,2027,2nd,Thomas
Thomas,2027,3rd,Thomas
Thomas,2028,1st,Thomas
Thomas,2028,2nd,Thomas
Thomas,2028,3rd,Thomas
Thomas,2029,1st,Thomas
Thomas,2029,2nd,Thomas
Thomas,2029,3rd,Thomas
Thomas,2030,1st,Thomas
Thomas,2030,2nd,Thomas
Thomas,2030,3rd,Thomas
Ludo,2026,1st,Ludo
Ludo,2026,2nd,Ludo
Ludo,2026,3rd,Ludo
Ludo,2027,1st,Ludo
Ludo,2027,2nd,Ludo
Ludo,2027,3rd,Ludo
Ludo,2028,1st,Ludo
Ludo,2028,2nd,Ludo
Ludo,2028,3rd,Ludo
Ludo,2029,1st,Ludo
Ludo,2029,2nd,Ludo
Ludo,2029,3rd,Ludo
Ludo,2030,1st,Ludo
Ludo,2030,2nd,Ludo
Ludo,2030,3rd,Ludo
P-O,2026,3rd,P-O
P-O,2026,3rd,JS
P-O,2027,1st,P-O
P-O,2027,2nd,Desbiens
P-O,2027,2nd,P-O
P-O,2027,3rd,P-O
P-O,2028,1st,P-O
P-O,2028,2nd,P-O
P-O,2028,3rd,P-O
P-O,2029,1st,P-O
P-O,2029,2nd,P-O
P-O,2029,3rd,P-O
P-O,2030,1st,P-O
P-O,2030,2nd,P-O
P-O,2030,3rd,P-O
Jeff,2026,3rd,Jeff
Jeff,2027,1st,Traded
Jeff,2027,2nd,Jeff
Jeff,2027,3rd,Jeff
Jeff,2028,1st,Jeff
Jeff,2028,2nd,Jeff
Jeff,2028,3rd,Jeff
Jeff,2029,1st,Jeff
Jeff,2029,2nd,Jeff
Jeff,2029,3rd,Jeff
Jeff,2030,1st,Jeff
Jeff,2030,2nd,Jeff
Jeff,2030,3rd,Jeff
Desbiens,2026,2nd,Bureau
Desbiens,2026,2nd,Allaire
Desbiens,2026,2nd,Desbiens
Desbiens,2027,1st,Desbiens
Desbiens,2027,2nd,Traded
Desbiens,2027,2nd,Allaire
Desbiens,2027,2nd,Dufour
Desbiens,2027,3rd,Traded
Desbiens,2028,1st,Desbiens
Desbiens,2028,2nd,Desbiens
Desbiens,2028,3rd,Desbiens
Desbiens,2029,1st,Desbiens
Desbiens,2029,2nd,Desbiens
Desbiens,2029,3rd,Desbiens
Desbiens,2030,1st,Desbiens
Desbiens,2030,2nd,Desbiens
Desbiens,2030,3rd,Desbiens
Bureau,2027,1st,Bureau
Bureau,2027,2nd,Bureau
Bureau,2027,3rd,Traded
Bureau,2028,1st,Bureau
Bureau,2028,2nd,Bureau
Bureau,2028,3rd,Bureau
Bureau,2029,1st,Bureau
Bureau,2029,2nd,Bureau
Bureau,2029,3rd,Bureau
Bureau,2030,1st,Bureau
Bureau,2030,2nd,Bureau
Bureau,2030,3rd,Bureau
Tomy,2026,2nd,P-O
Tomy,2026,3rd,Bernard
Tomy,2027,1st,Traded
Tomy,2027,2nd,Traded
Tomy,2027,2nd,Doc
Tomy,2027,3rd,Tomy
Tomy,2028,1st,Tomy
Tomy,2028,2nd,Tomy
Tomy,2028,3rd,Tomy
Tomy,2029,1st,Tomy
Tomy,2029,2nd,Tomy
Tomy,2029,3rd,Tomy
